"Term","Estimate","Std. Error","Lower.CI","Upper.CI","Pr(>|z|)"
"(Intercept)",-2.03362308234409,0.941216448117031,-3.87840732065347,-0.188838844034707,0.0307237195276217
"Plant.SpeciesDianthus deltoides",-1.76968653657741,1.04484824176947,-3.81758909044557,0.278216017290755,0.0903173790436962
"Plant.SpeciesGalium verum",-2.65165532946568,1.275222095929,-5.15109063748652,-0.152220021444846,0.037583589057656
"Plant.SpeciesHypochaeris radicata",-0.662806805977063,0.915917410273006,-2.45800493011216,1.13239131815803,0.469278510016503
"Plant.SpeciesLotus corniculatus",-1.25461115340162,0.915692142262684,-3.04936775223648,0.540145445433236,0.170648410985632
"Plant.SpeciesSilene viscaria",-0.62498893842751,0.960505830329819,-2.50758036587395,1.25760248901893,0.515248367662095
"Plant.SpeciesTeucrium scorodonia",0.158658409904573,1.13270667680768,-2.06144667663847,2.37876349644762,0.888604553895465
"Plant.SpeciesThymus drucei",1.09162927161762,0.942333421628898,-0.755344234775021,2.93860277801026,0.246687751448357
"Site2",0.135502258614951,0.384552315735317,-0.61822028022627,0.889224797456172,0.724565557146455
"Time.Period2",1.09882069312423,0.408369906471772,0.298415676439563,1.89922570980891,0.00712919280489645
"Time.Period3",0.254674656220246,0.412747107954907,-0.554309675371372,1.06365898781186,0.53721923974791
