Pollinator ID,Date,Species,Genus,Family,Order,Group,Visits,Block,Replication,Time Period,Site,Plant ID,Number of Flowers,Flower Range,Abundance,Start Time,Minutes,Solar Power (W/m^2),Temperature (C degrees),Humidity (% RH),Wind Speed (m/s)
None,04/06/2026,None,None,None,None,None,0,1,1,1,1,3,20,01:20,22444,05:19,20,9.5,16.2,59.6,3.3
None,04/06/2026,None,None,None,None,None,0,1,1,1,1,2,20,21:40,582,05:40,20,12.8,14.6,73.9,2.8
None,04/06/2026,None,None,None,None,None,0,1,1,1,1,1,20,41:60,469,06:06,20,24.1,13.8,71.1,1.1
None,04/06/2026,None,None,None,None,None,0,1,1,1,1,4,20,61:80,1291,06:34,20,27.1,13.5,75,0
None,04/06/2026,None,None,None,None,None,0,1,1,1,1,5,20,81:100,43,06:58,20,55.7,15.6,69.2,0
1,04/06/2026,Bombus terrestris,Bombus,Apidae,Hymenoptera,Bumblebee,5,1,1,1,2,10,20,101:120,170,07:52,20,115,16.1,66.9,0.5
2,04/06/2026,NA,NA,NA,Diptera,Other Fly,1,1,1,1,2,10,20,101:120,170,07:52,20,115,16.1,66.9,0.5
None,04/06/2026,None,None,None,None,None,0,1,1,1,2,9,20,121:140,320,08:21,20,190.8,16.5,64.7,0.5
None,04/06/2026,None,None,None,None,None,0,1,1,1,2,6,20,141:160,1900,08:46,20,128.1,16.7,68,0
3,04/06/2026,NA,NA,NA,Diptera,Other Fly,1,1,1,1,2,8,20,161:180,2954,09:10,20,214,16,67.5,1.1
4,04/06/2026,NA,NA,NA,Diptera,Other Fly,1,1,1,1,2,7,20,181:200,210,09:37,20,254,16.4,68.3,0.9
5,04/06/2026,Bombus hortorum,Bombus,Apidae,Hymenoptera,Bumblebee,1,1,1,2,2,10,20,201:220,170,10:01,20,732,17.1,82,0
6,04/06/2026,NA,NA,Syrphidae,Diptera,Hoverfly,1,1,1,2,2,7,20,221:240,210,10:28,20,921,18.6,78.2,0
7,04/06/2026,NA,NA,NA,Diptera,Other Fly,3,1,1,2,2,7,20,221:240,210,10:28,20,921,18.6,78.2,0
8,04/06/2026,Bombus pratorum,Bombus,Apidae,Hymenoptera,Bumblebee,1,1,1,2,2,7,20,221:240,210,10:28,20,921,18.6,78.2,0
None,04/06/2026,None,None,None,None,None,0,1,1,2,2,6,20,241:260,1900,10:53,20,262,17.6,74.6,0.5
9,04/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,1,1,1,2,2,9,20,261:280,320,11:35,20,283,22.7,54.8,0.7
10,04/06/2026,Bombus pratorum,Bombus,Apidae,Hymenoptera,Bumblebee,12,1,1,2,2,8,20,281:300,2954,11:57,20,286,17.6,70.5,0.1
11,04/06/2026,Bombus pratorum,Bombus,Apidae,Hymenoptera,Bumblebee,7,1,1,2,2,8,20,281:300,2954,11:57,20,286,17.6,70.5,0.1
12,04/06/2026,Bombus pratorum,Bombus,Apidae,Hymenoptera,Bumblebee,3,1,1,2,2,8,20,281:300,2954,11:57,20,286,17.6,70.5,0.1
13,04/06/2026,Bombus pratorum,Bombus,Apidae,Hymenoptera,Bumblebee,4,1,1,2,2,8,20,281:300,2954,11:57,20,286,17.6,70.5,0.1
14,04/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,3,1,1,2,2,8,20,281:300,2954,11:57,20,286,17.6,70.5,0.1
15,04/06/2026,Bombus pascuorum,Bombus,Apidae,Hymenoptera,Bumblebee,2,1,1,2,2,8,20,281:300,2954,11:57,20,286,17.6,70.5,0.1
16,04/06/2026,NA,NA,NA,Diptera,Other Fly,1,1,1,2,2,8,20,281:300,43,11:57,20,286,17.6,70.5,0.1
17,04/06/2026,Eupeodes corollae,Eupeodes,Syrphidae,Diptera,Hoverfly,3,1,1,2,1,5,20,301:320,43,13:03,20,28.8,18.8,76,0
18,04/06/2026,Bombus pascuorum,Bombus,Apidae,Hymenoptera,Bumblebee,4,1,1,2,1,5,20,301:320,43,13:03,20,28.8,18.8,76,0
19,04/06/2026,Bombus pratorum,Bombus,Apidae,Hymenoptera,Bumblebee,1,1,1,2,1,2,20,321:340,582,13:30,20,413,19.4,70.9,3.6
20,04/06/2026,Bombus pratorum,Bombus,Apidae,Hymenoptera,Bumblebee,1,1,1,2,1,3,20,341:360,22444,13:50,20,1234,21,70.3,3.3
None,04/06/2026,None,None,None,None,None,0,1,1,2,1,4,20,361:380,1291,14:21,20,333,20.9,62.6,1.6
None,04/06/2026,None,None,None,None,None,0,1,1,2,1,1,20,381:400,582,14:41,20,988,18.1,61.2,6.8
21,04/06/2026,Sphaerophoria scripta,Sphaerophoria,Syrphidae,Diptera,Hoverfly,1,1,1,3,1,5,20,401:420,43,15:07,20,876,17.8,73.3,2.5
22,04/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,1,1,1,3,1,5,20,421:440,43,15:07,20,876,17.8,73.3,2.5
23,04/06/2026,Bombus pratorum,Bombus,Apidae,Hymenoptera,Bumblebee,12,1,1,3,1,3,20,421:440,22444,15:31,20,933,18.4,62.8,1.2
24,04/06/2026,Bombus pascuorum,Bombus,Apidae,Hymenoptera,Bumblebee,6,1,1,3,1,3,20,421:440,22444,15:31,20,933,18.4,62.8,1.2
25,04/06/2026,Bombus lucorum,Bombus,Apidae,Hymenoptera,Bumblebee,9,1,1,3,1,3,20,421:440,22444,15:31,20,933,18.4,62.8,1.2
26,04/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,1,1,1,3,1,3,20,421:440,22444,15:31,20,933,18.4,62.8,1.2
27,04/06/2026,Polyommatus icarus,Polyommatus,Lycaenidae,Lepidoptera,Butterfly,1,1,1,3,1,3,20,461-480,22444,15:31,20,933,18.4,62.8,1.2
None,04/06/2026,None,None,None,None,None,0,1,1,3,1,2,20,441:460,582,15:54,20,842,17.9,67.9,3.9
28,04/06/2026,Bombus lapidarius,Bombus,Apidae,Hymenoptera,Bumblebee,1,1,1,3,1,4,20,461:480,1291,16:19,20,129.7,18.9,62.1,3.2
None,04/06/2026,None,None,None,None,None,0,1,1,3,1,1,20,481:500,469,16:44,20,115.6,18.5,57.5,4.5
